"conversation_id","conversation_length","customer_message_count","tesco_support_message_count","first_customer_tweet_id","first_customer_message","all_customer_messages","all_tesco_support_messages","candidate_review_status","evaluation_incoming_tweet_id","evaluation_incoming_message","human_intent","annotator_confidence","is_multi_intent","secondary_issue_present","annotation_notes","annotation_status","parent_tweet_missing","reconstruction_note","candidate_intent_screening","candidate_score_screening","candidate_basis_screening","exact_duplicate_risk","near_duplicate_risk","review_pool_reason"
"66073","2","1","1","66073","@Tesco @131115 4yr wedding anniversary today and my wife bought me the classic chocolate pack....1 bar for each year. Open it this morning and 1 bar is missing....my wife didn’t eat it!! 😞😞😞 #dairymilkismyfavourite https://t.co/E18I4NOMXL","@Tesco @131115 4yr wedding anniversary today and my wife bought me the classic chocolate pack....1 bar for each year. Open it this morning and 1 bar is missing....my wife didn’t eat it!! 😞😞😞 #dairymilkismyfavourite https://t.co/E18I4NOMXL","@131114 @131115 That's disappointing Terry, I'm sorry for the upset caused, Please can you return the pack to store with your receipt for a refund or exchange? Thanks, Leah.","not_annotated","66073","@Tesco @131115 4yr wedding anniversary today and my wife bought me the classic chocolate pack....1 bar for each year. Open it this morning and 1 bar is missing....my wife didn’t eat it!! 😞😞😞 #dairymilkismyfavourite https://t.co/E18I4NOMXL","product_quality","high","no","no","The customer reports that one chocolate bar is missing from a multipack. The underlying problem is an incomplete product, which is a product-quality issue; the refund or exchange is only the remedy.","annotated","","","","","","","",""
"73791","2","1","1","73791","@119373  @Tesco  how about following suit, #tesco? Supermarkets back plastic bottle refunds 

https://t.co/LVcoXnz35w","@119373  @Tesco  how about following suit, #tesco? Supermarkets back plastic bottle refunds 

https://t.co/LVcoXnz35w","@132508 Hi Gill, I can certainly record your feedback. Please DM us with your name and address for us to make a complete log. Alternatively we can certainly record this anonymously - Allyn","not_annotated","73791","@119373  @Tesco  how about following suit, #tesco? Supermarkets back plastic bottle refunds 

https://t.co/LVcoXnz35w","feedback_suggestion","high","no","no","The customer is asking Tesco to follow other supermarkets by introducing plastic bottle refunds. This is a suggestion/feedback about Tesco's policy rather than a specific product or service failure.","annotated","","","","","","","",""
"73795","6","3","3","73795","Hey @Tesco why are these different prices . They are exactly the same. https://t.co/fZdkev6k58","Hey @Tesco why are these different prices . They are exactly the same. https://t.co/fZdkev6k58 || @Tesco Weird when they do the exact same things || @Tesco @132509 In which case, Fisher Price is ripping you off. They're identical (apart from colour)","@132509 Hi Janis, these are classed as two different characters and will have separate prices and/or deals depending on what we can secure with our suppliers - Allyn || @132509 Hi Janis, I've passed your feedback on for you as this does seem a little odd. Thanks very much for highlighting this! Kind regards - Bryan || @132509 Hi Janis, the price should now be £31 each. Thanks again - Bryan","not_annotated","73795","Hey @Tesco why are these different prices . They are exactly the same. https://t.co/fZdkev6k58","pricing_payment","high","yes","yes","The customer initially questions why two apparently identical products have different prices. The primary issue is a pricing discrepancy; the later feedback that the products are identical is a secondary suggestion/complaint.","annotated","","","","","","","",""
"76293","5","2","3","76293","Are you kidding me @Tesco #BLTmyarse https://t.co/317pcIj7jJ","Are you kidding me @Tesco #BLTmyarse https://t.co/317pcIj7jJ || @Tesco I DM’d you with all of the information","@133067 Hi Hannah, thanks for getting in touch. I'm really sorry there's a sad amount of lettuce and tomato in your BLT and and I'd like to get this fed back to our suppliers. Could you please DM us some details? 1/3 || @133067 May I please have your name, address, email, how much you paid and the store you bought it from? May I please have pictures of the packaging - in particular the front and the back with the date code, barcode and SC code? 2/3 || @133067 May I please also have your permission to pass your details to our suppliers and if you'd like a refund via email or post? Thanks - Robyn 3/3 https://t.co/py5Z991Bme","not_annotated","76293","Are you kidding me @Tesco #BLTmyarse https://t.co/317pcIj7jJ","product_quality","high","no","no","The customer is complaining that the BLT contains an inadequate amount of lettuce and tomato. This is a product-quality issue concerning the contents of the prepared food; the refund and supplier feedback are remedies rather than separate intents.","annotated","","","","","","","",""
"81014","2","1","1","81014","@Tesco been on hold for ages to cancel Delivery Saver. 
Last thing I remember I was
Running for the door
I had to find the passage back to the place I was before
'Relax' said the night man
'We are programmed to receive.
You can check out any time you like
But you can never leave!","@Tesco been on hold for ages to cancel Delivery Saver. 
Last thing I remember I was
Running for the door
I had to find the passage back to the place I was before
'Relax' said the night man
'We are programmed to receive.
You can check out any time you like
But you can never leave!","@133983 I'm sorry to hear that you wish to cancel you delivery saver Nataliya, did you manage to get through to them after? Thanks - Mike","not_annotated","81014","@Tesco been on hold for ages to cancel Delivery Saver. 
Last thing I remember I was
Running for the door
I had to find the passage back to the place I was before
'Relax' said the night man
'We are programmed to receive.
You can check out any time you like
But you can never leave!","delivery_order","high","no","no","The customer is trying to cancel their Delivery Saver service and is complaining about being kept on hold. The underlying request concerns a delivery service subscription, so delivery_order is the best fit.","annotated","","","","","","","",""
"95876","7","3","4","95873","@Tesco Don't worry about it.  Replying at 3am isn't going to help me.  Being 25 mins late when all my local shops were shut meant one of us had to go to @sainsburys to get the stuff for our meal.  You've screwed up before and you've done it again. No way back now.","@Tesco Don't worry about it.  Replying at 3am isn't going to help me.  Being 25 mins late when all my local shops were shut meant one of us had to go to @sainsburys to get the stuff for our meal.  You've screwed up before and you've done it again. No way back now. || @Tesco @sainsburys I understand things can take a little while but responding at 3am in the morning? Haven't spoken to anyone else regarding this. Not trying your shoddy home delivery again.  Been let down too many times now. || @Tesco food delivery not here. Meant to be here between 8pm and 9pm. First time back with you guys after a long time since the last balls up.  It's not looking good for future custom from us.","@136876 Hi Kenn, I'm sorry your order hasn't arrived. I understand how frustrating and inconvenient this must be 1/2 || @136876 In order for me to look into this further can you please DM your full name, full address and email address? Thank you - Aneurin 2/2 || @136876 @sainsburys Hi Kenn, I'm terribly sorry! It takes us a little while for us to reply via Twitter, if you'd like a faster resolution, please call the helpline. Have you spoken to anyone else in regards to this? I'm sorry again for this. - Aimee || @136876 @sainsburys I'm sorry this wasn't convenient, Kenn. We're a 24 hour service and will respond to you as quickly as we can. If you'd like me to look into it please DM your details. Charlotte https://t.co/py5Z991Bme","not_annotated","95876","@Tesco food delivery not here. Meant to be here between 8pm and 9pm. First time back with you guys after a long time since the last balls up.  It's not looking good for future custom from us.","delivery_order","high","no","no","The customer reports that a scheduled food delivery did not arrive within the promised 8pm–9pm window. The later complaints about the late response and dissatisfaction with future deliveries are consequences of the same delivery failure, not separate primary intents.","annotated","","","","","","","",""
"95909","21","11","10","95899","@Tesco Nothing available still. Looks like I aint getting a Christmas delivery slot.","@Tesco Nothing available still. Looks like I aint getting a Christmas delivery slot. || @Tesco Nope still nothing. Earliest date showing is 20th. 21 22 and 23 all unavailable still || @Tesco Ok thanks, I'll just have to leave it as 20th is a little too early. Looks like I'll be going out and doing the shopping which should be fun. || @Tesco @136881 Yes I have an anytime plan and was allowed to book 26th November after 12 but they were all gone almost ibsfdbtk5 || @Tesco @136881 Done || @Tesco @136881 Hi, see screenshot below. Unavailable https://t.co/GqKKi73JBm || @Tesco Same on browser. https://t.co/DpFqNZ9XyQ || @Tesco I can click and collect on 23rd December just can't get a home delivery. See attached || @Tesco  https://t.co/HFY3NY6nd4 || @Tesco Will certainly do that, thanks! || Have to say @Tesco Xmas slots are absolute garbage. None available even though I went on when they said there would be some to book. Never had this issue with @136881","@136880 Hi Joe, are you able to try again, the slots were a little late being released. TY - Chris || @136880 Hi Joe, thank you for getting back to me, I am going to need to check this with our Grocery Support Team. We will do this and get back to you. TY - Chris || @136880 Hi Joe, I have spoke with the grocery support team and they have confirmed that it looks like the unavailable slots isn't an error but in fact they have been booked. There maybe slots free up but I would book one showing now. Ty - Mike || @136880 No worries Joe, I understand, I apologise for the inconvenience caused and if you need anything else, let us know. - Rob || @136880 @136881 I am sorry for any disappointment caused Joe, can you please DM your full name, address and email? I can log your feedback. TY - Chris || @136880 @136881 Thank you. To be clear was the message on the slots 'unavailable' or 'full'? Charlotte || @136880 Hi Joe, this appears to be a system issue. Have you tried using an alternative device or using the browser instead of the app? || @136880 Hi Joe, Can you please tell me if this is the same when you try to reserve a click and collect slot? Sometimes switching between the two might solve the problem. TY - Mike || @136880 Hi Joe, thank you for getting back to us, new slots are being released at midnight tonight. Can you please try again for me and let me know. TY - Chris || @136880 @136881 Hello Joe, I am sorry, our slots go very fast. Are you a Delivery Saver customer? TY - Chris","not_annotated","95899","@Tesco Nothing available still. Looks like I aint getting a Christmas delivery slot.","delivery_order","high","no","no","The customer cannot obtain a Christmas home-delivery slot because the available dates are unavailable or booked. The later discussion about a possible system issue is part of investigating the same delivery-slot problem, not a separate intent.","annotated","","","","","","","",""
"95912","4","2","2","95912","@Tesco I can't log into my Tesco Clubcard account to get my card number because ironically I can't find my clubcard to enter the number! How can I get a replacement card?","@Tesco I can't log into my Tesco Clubcard account to get my card number because ironically I can't find my clubcard to enter the number! How can I get a replacement card? || @Tesco Done - thanks Claire!","@136882 Hi there, can you please DM me your full name, address and emailed address and I will arrange for a new card and Keyfob to be sent to you. Thank you, Claire. https://t.co/py5Z991Bme || @136882 Hi Kacey, I've now replied to your DM :) Thanks Claire.","not_annotated","95912","@Tesco I can't log into my Tesco Clubcard account to get my card number because ironically I can't find my clubcard to enter the number! How can I get a replacement card?","other_unclear","high","yes","yes","The customer cannot log into their Tesco Clubcard account because they cannot provide the missing card number and is asking for a replacement card. This is primarily a Clubcard account/card issue, which does not fit any of the eight frozen target intents, so it is annotated as other_unclear.","annotated","","","","","","","",""
"102252","3","2","1","102252","@Tesco tried to buy a baby toy in store today got to till to be told I can’t buy it! Staff rude no explanation #rude#notoy4baby!!!!!!","@Tesco tried to buy a baby toy in store today got to till to be told I can’t buy it! Staff rude no explanation #rude#notoy4baby!!!!!! || @Tesco Yes I will do now. Many thanks","@138430 Hi Michelle, can you please DM us to explain exactly what happened, which store and a description of the colleagues please? Thanks - Paige","not_annotated","102252","@Tesco tried to buy a baby toy in store today got to till to be told I can’t buy it! Staff rude no explanation #rude#notoy4baby!!!!!!","store_staff_service","high","yes","yes","The customer was refused the purchase of a baby toy at the till and reports rude staff with no explanation. The primary issue is the in-store staff/service experience; the refusal to sell the product is a related secondary issue.","annotated","","","","","","","",""
"106403","2","1","1","106403","Was browsing the Pop figures at @Tesco and was a bit confused as to why this one was empty. https://t.co/npyzEKGreJ","Was browsing the Pop figures at @Tesco and was a bit confused as to why this one was empty. https://t.co/npyzEKGreJ","@139581 I don't know what you're talking about, Tom. I can't see anything!","not_annotated","106403","Was browsing the Pop figures at @Tesco and was a bit confused as to why this one was empty. https://t.co/npyzEKGreJ","other_unclear","medium","no","no","The customer is confused about why a Pop figure display/product appears empty, but the conversation does not provide enough information to determine whether this is a product availability, store-service, or product issue. Annotate as other_unclear.","annotated","","","","","","","",""
"112068","7","3","4","112071","@Tesco ..hand held scanners option unavailable today in #Tesco Congleton. I really can't seethe point, at all. Pointless even. And yet money has spent on this 'system' Puzzling.","@Tesco ..hand held scanners option unavailable today in #Tesco Congleton. I really can't seethe point, at all. Pointless even. And yet money has spent on this 'system' Puzzling. || @Tesco what is it with the hand hald scanner, every time you use it they check your bags, (not thoroughly) are they suggesting (again) I am a thief. I am disgusted. May not use it again, what's the point of having it? || @Tesco Congleton Tesco. Puts me off using the system, why bother?","@140887 Thanks Al, if you could please send us the details my colleague requested above I will be hap to log both instances. Did my colleagues in store advise you why it was unavailable yesterday? Thanks - Mike || @140887 Hi there, I'm so sorry to hear that! There should be some checks, but not every time you use the scanners. Can you let us know what store you visit that this happens in? We can investigate this for you. Thanks - Josh || @140887 Hi there, unfortunately our systems do have their hiccups sometimes, but we are always trying to improve this. Can you DM over a few details so I can log this please? 1/2 || @140887 Can you send us your full name, postcode &amp; address and email please? Thanks - Josh 2/2 https://t.co/py5Z991Bme","not_annotated","112068","@Tesco what is it with the hand hald scanner, every time you use it they check your bags, (not thoroughly) are they suggesting (again) I am a thief. I am disgusted. May not use it again, what's the point of having it?","store_staff_service","high","yes","yes","The customer is complaining about the in-store hand-held scanner service, particularly repeated bag checks that make them feel suspected of theft. They also report that the scanner option was unavailable on another visit. Both are related problems with an in-store service/system, with the repeated checks being the primary complaint.","annotated","","","","","","","",""
"113900","3","1","2","113900","Single use plastic spoon @Tesco https://t.co/J3JaFM4m4V","Single use plastic spoon @Tesco https://t.co/J3JaFM4m4V","@141297 Hi Matt. I have looked into this and found out that this utensil is called a 'spife'. This is specially created for kiwi fruit and can be washed and reused. I hope this helps a little. Thank you. - Alisha. || @141297 Hi Matt. I am currently looking into this for you, please bare with me a moment while I do this. Thank you. - Alisha.","not_annotated","113900","Single use plastic spoon @Tesco https://t.co/J3JaFM4m4V","product_information_policy","high","no","no","The customer is questioning the use of a single-use plastic spoon. The conversation is primarily about the product's use/design and whether the utensil is intended for single use, which is an information/policy issue rather than a product defect or availability problem.","annotated","","","","","","","",""
"124863","2","1","1","124863","@Tesco how long is online cue for ?? It’s a joke","@Tesco how long is online cue for ?? It’s a joke","@143973 Hi Claire, unfortunately we're unable to advise on the waiting times. I hope that you didn't have to wait too long :) - Ceri","not_annotated","124863","@Tesco how long is online cue for ?? It’s a joke","other_unclear","high","no","no","The customer is asking about the waiting time for Tesco's online queue. This is a website/IT access issue, which does not fit any of the eight frozen target intents, so it should be annotated as other_unclear.","annotated","","","","","","","",""
"138320","6","3","3","138320","@Tesco hi. My dad is ordering an item on online but when in checkout it isn’t applying his staff discount. His account is set up with his colleague club card details. What is he doing wrong ?","@Tesco hi. My dad is ordering an item on online but when in checkout it isn’t applying his staff discount. His account is set up with his colleague club card details. What is he doing wrong ? || @Tesco Hi. It is by one of your partners. Its item 636-6119 || @Tesco Ok . Can you offer any discount code ? Please 👍🏻","@147157 Hi Gary, thanks for your post :) Is it possible that he may be ordering a product sold by one of our partners and not directly from Tesco?  Can you confirm the catalogue number of the product he is trying to purchase please? TY - Kim || @147157 Hi Gary, thanks for getting back to us. I do apologise. We only receive staff discount on Tesco products and we don't receive staff discount on any Partner items this is why your dad's staff discount isn't being deducted. TY - Sheryll || @147157 Hello Gary! I'm afraid we don't offer discount codes for partner items, I am sorry about this. TY - Eilish","not_annotated","138320","@Tesco hi. My dad is ordering an item on online but when in checkout it isn’t applying his staff discount. His account is set up with his colleague club card details. What is he doing wrong ?","pricing_payment","high","yes","yes","The customer is unable to receive the expected staff discount on a partner product and then asks whether any discount code is available. The primary issue is the pricing/discount treatment at checkout, with the later discount-code request as a secondary pricing-related request.","annotated","","","","","","","",""
"143025","2","1","1","143025","@Tesco when are xmas delivery slots available for delivery saver subscribers?","@Tesco when are xmas delivery slots available for delivery saver subscribers?","@133647 Hi Phill, Christmas slots up to and including the 23rd of December are available to book from the 26th of November. :) - Terri","not_annotated","143025","@Tesco when are xmas delivery slots available for delivery saver subscribers?","product_information_policy","high","no","no","The customer is asking when Christmas delivery slots become available for Delivery Saver subscribers. This is a request for timing information about the service, so the primary intent is product_information_policy.","annotated","","","","","","","",""
"143089","2","1","1","143089","@Tesco why is the oxford store closed?","@Tesco why is the oxford store closed?","@147867 Hi Alex, Can you please confirm which store in oxford you are referring to? Regards - Stacey.","not_annotated","143089","@Tesco why is the oxford store closed?","store_staff_service","high","no","no","The customer is asking why a Tesco store in Oxford is closed. The issue concerns store operations/opening status, so store_staff_service is the best fit.","annotated","","","","","","","",""
"144294","3","2","1","144294","@Tesco yet again despite previous complaints delivery driver showing no consideration by blocking my driveway, enough is enough #tescodoesntcare https://t.co/92HAH5WsOG","@Tesco yet again despite previous complaints delivery driver showing no consideration by blocking my driveway, enough is enough #tescodoesntcare https://t.co/92HAH5WsOG || @Tesco This will be a total waste of time as this is now the 4th time I have complained, I am so angry with Tesco at the moment","@148623 Hi Vic, I'm sorry to see this, please can you DM us your name, address and the time this happened so we can provide feedback to the relevant store? - Thanks - Matt","not_annotated","144294","@Tesco yet again despite previous complaints delivery driver showing no consideration by blocking my driveway, enough is enough #tescodoesntcare https://t.co/92HAH5WsOG","store_staff_service","high","no","no","The customer is repeatedly complaining that a Tesco delivery driver is blocking their driveway. The primary issue is the driver's conduct and service experience, so store_staff_service is the best fit. The repeated complaints and anger are context for the same issue, not separate intents.","annotated","","","","","","","",""
